team,goals_scored,xg,xg_performance,goals_per_game,goals_conceded,xga,xga_performance,goals_conceded_per_game,points,ppg,goal_diff,goal_diff_per_game,xg_diff,xg_diff_per_game,win_rate,draw_rate,loss_rate,form_last5,form_goals,hist_seasons_in_pl,hist_avg_position,hist_avg_points,hist_titles,hist_top_4_rate,hist_avg_xg,hist_avg_xga,hist_consistency,hist_relegation_risk,fixture_avg_difficulty,fixture_total_difficulty,fixture_std_difficulty,fixture_hard_games,fixture_easy_games,fixture_home_remaining,fixture_away_remaining,fixture_next5_difficulty,fixture_next5_hard,fixture_next5_easy,fixture_runin_difficulty,fixture_big6_remaining,fixture_big6_home,fixture_advantage_score
Liverpool,38,35.5,2.5,2.235294117647059,12,14.2,2.1999999999999993,0.7058823529411765,40,2.3529411764705883,26,1.5294117647058822,21.3,1.2529411764705882,0.7058823529411765,0.23529411764705882,0.058823529411764705,6.0,5.0,5,2.8,80.0,1,0.8,78.32,41.1,0.4298025212396841,0.0,6.8585714285714285,144.03,1.9813392193263664,5,6,11,10,6.2780000000000005,0,2,7.347499999999999,5,3,3.1414285714285715
Arsenal,35,33.2,1.7999999999999972,2.0588235294117645,14,15.8,1.8000000000000007,0.8235294117647058,37,2.176470588235294,21,1.2352941176470589,17.400000000000002,1.023529411764706,0.6470588235294118,0.23529411764705882,0.11764705882352941,6.0,5.0,5,3.8,77.2,0,0.6,71.67999999999999,41.379999999999995,0.29411764705882354,0.0,6.738809523809524,141.515,1.780822378754041,5,5,11,10,6.358999999999999,2,3,6.805,5,2,3.2611904761904764
Manchester City,36,34.8,1.2000000000000028,2.1176470588235294,16,14.5,-1.5,0.9411764705882353,36,2.1176470588235294,20,1.1764705882352942,20.299999999999997,1.1941176470588233,0.6470588235294118,0.17647058823529413,0.17647058823529413,6.0,5.0,5,1.6,86.8,4,1.0,85.1,34.160000000000004,0.45454545454545453,0.0,6.776666666666668,142.31000000000003,1.9250110286222932,4,7,11,10,5.726999999999999,0,3,6.210999999999999,5,3,3.223333333333332
Chelsea,32,30.5,1.5,1.8823529411764706,18,19.2,1.1999999999999993,1.0588235294117647,34,2.0,14,0.8235294117647058,11.3,0.6647058823529413,0.5882352941176471,0.23529411764705882,0.17647058823529413,6.0,4.0,5,5.6,65.4,0,0.6,65.9,46.5,0.22819031657639394,0.0,6.634047619047619,139.315,1.6592307591224738,4,6,12,9,5.443,0,2,7.178,5,4,3.365952380952381
Newcastle,28,26.8,1.1999999999999993,1.6470588235294117,15,16.8,1.8000000000000007,0.8823529411764706,32,1.8823529411764706,13,0.7647058823529411,10.0,0.5882352941176471,0.5294117647058824,0.29411764705882354,0.17647058823529413,3.0,3.0,5,8.4,57.2,0,0.2,57.08,52.660000000000004,0.2583618810609758,0.0,6.877142857142856,144.42,1.723345701872745,4,5,10,11,6.039,0,2,6.761500000000001,7,5,3.1228571428571437
Tottenham,30,28.5,1.5,1.7647058823529411,18,20.2,2.1999999999999993,1.0588235294117647,30,1.7647058823529411,12,0.7058823529411765,8.3,0.4882352941176471,0.47058823529411764,0.35294117647058826,0.17647058823529413,3.0,4.0,5,7.0,62.8,0,0.2,67.64,53.1,0.28989794855663564,0.0,6.731904761904761,141.36999999999998,2.0666227776774884,4,5,11,10,7.025,1,0,6.525499999999999,5,3,3.2680952380952393
Aston Villa,26,25.2,0.8000000000000007,1.5294117647058822,20,21.5,1.5,1.1764705882352942,29,1.7058823529411764,6,0.35294117647058826,3.6999999999999993,0.21764705882352936,0.47058823529411764,0.29411764705882354,0.23529411764705882,0.0,0.0,5,8.6,58.2,0,0.2,58.36,52.1,0.22229280577466015,0.0,6.528809523809524,137.105,1.7318390340644527,4,6,11,10,7.205,1,1,6.139999999999999,5,2,3.4711904761904764
Manchester Utd,24,25.8,-1.8000000000000007,1.411764705882353,18,20.8,2.8000000000000007,1.0588235294117647,27,1.588235294117647,6,0.35294117647058826,5.0,0.29411764705882354,0.4117647058823529,0.35294117647058826,0.23529411764705882,0.0,1.0,5,6.4,63.4,0,0.4,59.46,54.44,0.2028654114181233,0.0,6.773333333333333,142.24,1.790617965511543,4,5,11,10,6.956999999999999,2,1,6.324,5,3,3.2266666666666666
Brighton,25,24.2,0.8000000000000007,1.4705882352941178,22,22.5,0.5,1.2941176470588236,26,1.5294117647058822,3,0.17647058823529413,1.6999999999999993,0.09999999999999996,0.4117647058823529,0.29411764705882354,0.29411764705882354,0.0,0.0,5,9.6,53.2,0,0.0,54.8,51.11999999999999,0.2118547544819046,0.0,6.665238095238095,139.97,1.6764662922423887,4,6,11,10,6.819,1,1,6.1975,6,4,3.334761904761905
Nottingham Forest,22,21.5,0.5,1.2941176470588236,22,23.2,1.1999999999999993,1.2941176470588236,25,1.4705882352941178,0,0.0,-1.6999999999999993,-0.09999999999999996,0.4117647058823529,0.23529411764705882,0.35294117647058826,0.0,0.0,3,12.666666666666666,46.0,0,0.0,46.800000000000004,58.93333333333334,0.15536388829144074,0.0,6.74952380952381,141.74,1.9858834574506037,5,5,11,10,6.555,0,0,7.043000000000001,6,3,3.2504761904761903
Bournemouth,22,21.8,0.1999999999999993,1.2941176470588236,20,21.8,1.8000000000000007,1.1764705882352942,24,1.411764705882353,2,0.11764705882352941,0.0,0.0,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.0,2.0,3,12.0,48.666666666666664,0,0.0,48.833333333333336,60.833333333333336,0.28989794855663564,0.0,6.793571428571428,142.665,2.108908058043051,4,7,11,10,6.941,0,0,6.51,6,3,3.206428571428572
West Ham,21,22.5,-1.5,1.2352941176470589,22,23.5,1.5,1.2941176470588236,23,1.3529411764705883,-1,-0.058823529411764705,-1.0,-0.058823529411764705,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.0,0.0,5,10.0,52.2,0,0.0,53.7,57.04,0.22696955407408306,0.0,6.558333333333333,137.725,1.636716612563479,4,6,11,10,7.589,2,1,6.248499999999999,5,4,3.4416666666666673
Fulham,22,21.2,0.8000000000000007,1.2941176470588236,22,22.8,0.8000000000000007,1.2941176470588236,23,1.3529411764705883,0,0.0,-1.6000000000000014,-0.09411764705882361,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.0,0.0,4,12.75,46.0,0,0.0,48.14999999999999,55.35,0.23423733756443926,0.25,6.633809523809524,139.31,1.6985609488776532,5,8,11,10,6.7989999999999995,3,2,6.523999999999999,5,4,3.366190476190476
